[INFO ] 2024-04-07 11:38:16.557 edu.tongji.backend.BackendApplicationTests logStarting 50 [main] ------ Starting BackendApplicationTests using Java 17.0.9 with PID 7948 (started by Administrator in D:\IDEAProj\Tangxiaozhi_Sports_Backend) 
[DEBUG] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStarting 51 [main] ------ Running with Spring Boot v3.2.1, Spring v6.1.2 
[INFO ] 2024-04-07 11:38:16.558 edu.tongji.backend.BackendApplicationTests logStartupProfileInfo 668 [main] ------ The following 1 profile is active: "pro" 
[INFO ] 2024-04-07 11:38:19.995 edu.tongji.backend.BackendApplicationTests logStarted 56 [main] ------ Started BackendApplicationTests in 3.782 seconds (process running for 4.64) 
[DEBUG] 2024-04-07 11:38:21.052 edu.tongji.backend.mapper.RunningMapper.selectList debug 135 [main] ------ ==>  Preparing: SELECT exercise_id,pace,distance FROM running 
[TRACE] 2024-04-07 11:38:21.137 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2220, 211, 0.02 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2221, 0, 0.00 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2222, 719, 0.14 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2223, 681, 0.08 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2224, 307, 0.03 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2225, 522, 0.06 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2226, 232, 0.04 
[TRACE] 2024-04-07 11:38:21.138 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2227, 702, 4.00 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2228, 508, 0.00 
[TRACE] 2024-04-07 11:38:21.139 edu.tongji.backend.mapper.RunningMapper.selectList trace 141 [main] ------ <==        Row: 2232, 277, 0.04 
